Date,Country,City,Specie,count,min,max,median,variance
20-01-2021,IN,New Delhi,wind-speed,12,2.3,4.6,3.8,5.13
18-01-2021,IN,New Delhi,wind-speed,15,1,3.6,2,9.12
19-02-2021,IN,New Delhi,wind-speed,12,0.5,4.3,1.8,17.4
22-02-2021,IN,New Delhi,wind-speed,14,1,5.4,3.3,18.31
08-04-2021,IN,New Delhi,wind-speed,22,0.7,4.1,2.5,7.78
20-04-2021,IN,New Delhi,wind-speed,24,0.7,7.7,3.3,32.23
21-01-2021,IN,New Delhi,wind-speed,12,0.7,4.6,3,14.13
09-02-2021,IN,New Delhi,wind-speed,13,0.7,2.8,2,4.22
03-03-2021,IN,New Delhi,wind-speed,19,1.5,5.6,3,18.02
12-01-2021,IN,New Delhi,wind-speed,11,0.7,3.8,2.5,10.59
19-01-2021,IN,New Delhi,wind-speed,10,0.5,4.1,3.6,14.71
08-02-2021,IN,New Delhi,wind-speed,13,0.7,3.3,2,6.55
04-03-2021,IN,New Delhi,wind-speed,14,0.5,3,2,6.41
25-01-2021,IN,New Delhi,wind-speed,18,1.8,3.3,2.3,1.98
06-03-2021,IN,New Delhi,wind-speed,20,0.7,4.3,2.3,8.65
16-03-2021,IN,New Delhi,wind-speed,22,1,4.8,2.3,12.34
30-03-2021,IN,New Delhi,wind-speed,18,0.5,7.7,5.1,44.78
01-03-2021,IN,New Delhi,wind-speed,21,0.7,5.1,2.8,13.73
20-03-2021,IN,New Delhi,wind-speed,20,1,4.8,2.5,11.7
23-03-2021,IN,New Delhi,wind-speed,24,0.7,6.6,2.5,18.24
17-04-2021,IN,New Delhi,wind-speed,23,0.7,4.6,2.8,14.15
11-01-2021,IN,New Delhi,wind-speed,24,0.7,4.6,2.8,12.28
31-01-2021,IN,New Delhi,wind-speed,15,0.7,2.3,1.5,3.34
05-02-2021,IN,New Delhi,wind-speed,16,0.7,3.6,2.3,7.25
27-02-2021,IN,New Delhi,wind-speed,17,0.7,4.8,3.3,13.57
21-03-2021,IN,New Delhi,wind-speed,15,1.8,4.1,3,4.01
12-03-2021,IN,New Delhi,wind-speed,21,0.7,7.7,3,31.88
10-04-2021,IN,New Delhi,wind-speed,20,0.7,4.3,2.3,9.35
22-01-2021,IN,New Delhi,wind-speed,19,1,4.1,2.8,5.9
19-03-2021,IN,New Delhi,wind-speed,22,0.7,4.1,2,12.07
22-03-2021,IN,New Delhi,wind-speed,24,1.8,6.9,3.6,15.84
13-04-2021,IN,New Delhi,wind-speed,18,1,5.1,2.8,16.21
14-02-2021,IN,New Delhi,wind-speed,13,0.5,2.3,1,3.76
23-02-2021,IN,New Delhi,wind-speed,11,1,3.8,2.8,11.63
03-04-2021,IN,New Delhi,wind-speed,16,0.7,3,2,5.37
03-02-2021,IN,New Delhi,wind-speed,24,2,4.6,3,4.84
27-03-2021,IN,New Delhi,wind-speed,18,0.7,4.1,2.5,12.09
05-04-2021,IN,New Delhi,wind-speed,18,0.7,3.8,2,9.28
19-04-2021,IN,New Delhi,wind-speed,18,0.7,5.1,2.8,20.37
31-12-2020,IN,New Delhi,wind-speed,13,1,2.5,2.3,1.91
04-01-2021,IN,New Delhi,wind-speed,16,0.7,4.8,2.3,14.72
07-01-2021,IN,New Delhi,wind-speed,22,0.7,3,2.5,4.64
12-02-2021,IN,New Delhi,wind-speed,11,1,2.8,1.5,3.14
20-02-2021,IN,New Delhi,wind-speed,18,0.7,4.6,2,12.26
23-01-2021,IN,New Delhi,wind-speed,23,0.7,4.6,3,9.44
25-03-2021,IN,New Delhi,wind-speed,24,2,4.8,3.3,7.99
21-04-2021,IN,New Delhi,wind-speed,23,1.2,4.6,3.8,6.99
13-01-2021,IN,New Delhi,wind-speed,7,0.7,2.5,2.3,5.82
24-01-2021,IN,New Delhi,wind-speed,18,0.7,3.8,2.8,5.95
18-02-2021,IN,New Delhi,wind-speed,11,0.7,3.6,2,8.5
09-01-2021,IN,New Delhi,wind-speed,24,1.5,3.6,2.3,3.5
